id,domain,capability,historicalStatus,acceptanceDecision,evidenceStrength,strictPublicClaimAllowed,dsxuFitTier,dsxuFitReason,dsxuOwner,v18Meaning,risk,nextAction
"E07","evaluation-reporting","Mini Report Generator","PASS","implemented+tested","source+tests+live","true","public-sellable-now","已经有 DSXU source/test/live 证据，可进入公开卖点，但仍不得宣称公开 90% 对标达成。","Evidence / benchmark / public challenge owner","历史能力已经落到 DSXU-owned 主线，并有测试/证据可复核。","可作为 DSXU 自有能力证据；公开 90% 或 benchmark 胜出仍需 public challenge raw proof。","随最终六阶段测试回归。"
"R03","benchmark-map","SWE Pro","PASS","guard-or-eval-coordinate-only","guard-only","false","benchmark-coordinate-only","适合作为挑战任务/评测坐标，不适合作为当前产品功能卖点。","Evidence / benchmark / public challenge owner","这是体验/评测坐标或 quality contract PASS，不是外部同题 raw benchmark PASS。","不能在 GitHub 写成已通过 SWE/OSWorld/Toolathlon 等外部榜单。","放入公开挑战/benchmark 数据包；等待同题 raw run 后再升级 claim。"
"R04","benchmark-map","SWE Verified","DEFERRED_NOT_PASS","deferred-not-pass","deferred","false","deferred-or-not-suitable-now","当前缺主线实现或 raw/live 证据，只能 roadmap/deferred，不能写进 PASS 或卖点。","Evidence / benchmark / public challenge owner","V18/V19 明确未覆盖，不能当 PASS。","如果写成已实现，会把 roadmap 或外部 benchmark 坐标冒充产品能力。","保留为 deferred/roadmap；只有真实代码、测试、live/raw 证据齐后才能转入 PASS。"
"R05","benchmark-map","BFCL V4","DEFERRED_NOT_PASS","deferred-not-pass","deferred","false","deferred-or-not-suitable-now","当前缺主线实现或 raw/live 证据，只能 roadmap/deferred，不能写进 PASS 或卖点。","Evidence / benchmark / public challenge owner","V18/V19 明确未覆盖，不能当 PASS。","如果写成已实现，会把 roadmap 或外部 benchmark 坐标冒充产品能力。","保留为 deferred/roadmap；只有真实代码、测试、live/raw 证据齐后才能转入 PASS。"
"R06","benchmark-map","BrowseComp-Lite","DEFERRED_NOT_PASS","deferred-not-pass","deferred","false","deferred-or-not-suitable-now","当前缺主线实现或 raw/live 证据，只能 roadmap/deferred，不能写进 PASS 或卖点。","Evidence / benchmark / public challenge owner","V18/V19 明确未覆盖，不能当 PASS。","如果写成已实现，会把 roadmap 或外部 benchmark 坐标冒充产品能力。","保留为 deferred/roadmap；只有真实代码、测试、live/raw 证据齐后才能转入 PASS。"
"R07","benchmark-map","OSWorld-Lite","PASS","guard-or-eval-coordinate-only","guard-only","false","benchmark-coordinate-only","适合作为挑战任务/评测坐标，不适合作为当前产品功能卖点。","Evidence / benchmark / public challenge owner","这是体验/评测坐标或 quality contract PASS，不是外部同题 raw benchmark PASS。","不能在 GitHub 写成已通过 SWE/OSWorld/Toolathlon 等外部榜单。","放入公开挑战/benchmark 数据包；等待同题 raw run 后再升级 claim。"
"R08","benchmark-map","Toolathlon","PASS","guard-or-eval-coordinate-only","guard-only","false","benchmark-coordinate-only","适合作为挑战任务/评测坐标，不适合作为当前产品功能卖点。","Evidence / benchmark / public challenge owner","这是体验/评测坐标或 quality contract PASS，不是外部同题 raw benchmark PASS。","不能在 GitHub 写成已通过 SWE/OSWorld/Toolathlon 等外部榜单。","放入公开挑战/benchmark 数据包；等待同题 raw run 后再升级 claim。"
"PZ01","paused-module","OpenClaw Adapter","DEFERRED_NOT_PASS","deferred-not-pass","deferred","false","deferred-or-not-suitable-now","当前缺主线实现或 raw/live 证据，只能 roadmap/deferred，不能写进 PASS 或卖点。","Deferred ecosystem boundary owner","V18/V19 明确未覆盖，不能当 PASS。","如果写成已实现，会把 roadmap 或外部 benchmark 坐标冒充产品能力。","保留为 deferred/roadmap；只有真实代码、测试、live/raw 证据齐后才能转入 PASS。"
"PZ02","paused-module","Hermes Adapter","DEFERRED_NOT_PASS","deferred-not-pass","deferred","false","deferred-or-not-suitable-now","当前缺主线实现或 raw/live 证据，只能 roadmap/deferred，不能写进 PASS 或卖点。","Deferred ecosystem boundary owner","V18/V19 明确未覆盖，不能当 PASS。","如果写成已实现，会把 roadmap 或外部 benchmark 坐标冒充产品能力。","保留为 deferred/roadmap；只有真实代码、测试、live/raw 证据齐后才能转入 PASS。"
"PZ03","paused-module","BrowserExecutor","PASS","adapted/subset+tested","source+tests+live","false","sellable-with-boundary","适合 DSXU，但必须写成 DSXU 自有子集/适配能力，不能扩大成完整外部功能或参考产品 parity。","Deferred ecosystem boundary owner","能力已按 DSXU 目标改造或子集化，不是原名完整功能。","公开卖点必须写 DSXU 自有边界，不能写成完整参考功能或外部评测通过。","补充 claim-limited 文案和 live 示例；不能扩大为 full feature claim。"
"PZ04","paused-module","DesktopExecutor","DEFERRED_NOT_PASS","deferred-not-pass","deferred","false","deferred-or-not-suitable-now","当前缺主线实现或 raw/live 证据，只能 roadmap/deferred，不能写进 PASS 或卖点。","Deferred ecosystem boundary owner","V18/V19 明确未覆盖，不能当 PASS。","如果写成已实现，会把 roadmap 或外部 benchmark 坐标冒充产品能力。","保留为 deferred/roadmap；只有真实代码、测试、live/raw 证据齐后才能转入 PASS。"
"PZ05","paused-module","Application templates","DEFERRED_NOT_PASS","deferred-not-pass","deferred","false","deferred-or-not-suitable-now","当前缺主线实现或 raw/live 证据，只能 roadmap/deferred，不能写进 PASS 或卖点。","Deferred ecosystem boundary owner","V18/V19 明确未覆盖，不能当 PASS。","如果写成已实现，会把 roadmap 或外部 benchmark 坐标冒充产品能力。","保留为 deferred/roadmap；只有真实代码、测试、live/raw 证据齐后才能转入 PASS。"
"PZ06","paused-module","VS Code plugin/API platform","DEFERRED_NOT_PASS","deferred-not-pass","deferred","false","deferred-or-not-suitable-now","当前缺主线实现或 raw/live 证据，只能 roadmap/deferred，不能写进 PASS 或卖点。","Deferred ecosystem boundary owner","V18/V19 明确未覆盖，不能当 PASS。","如果写成已实现，会把 roadmap 或外部 benchmark 坐标冒充产品能力。","保留为 deferred/roadmap；只有真实代码、测试、live/raw 证据齐后才能转入 PASS。"
"PZ07","paused-module","Multi-Agent Swarm/Coordinator","PASS","adapted/subset+tested","source+tests+live","false","sellable-with-boundary","适合 DSXU，但必须写成 DSXU 自有子集/适配能力，不能扩大成完整外部功能或参考产品 parity。","Deferred ecosystem boundary owner","能力已按 DSXU 目标改造或子集化，不是原名完整功能。","公开卖点必须写 DSXU 自有边界，不能写成完整参考功能或外部评测通过。","补充 claim-limited 文案和 live 示例；不能扩大为 full feature claim。"
"PZ08","paused-module","Voice/Buddy/Team/Bridge","DEFERRED_NOT_PASS","deferred-not-pass","deferred","false","deferred-or-not-suitable-now","当前缺主线实现或 raw/live 证据，只能 roadmap/deferred，不能写进 PASS 或卖点。","Deferred ecosystem boundary owner","V18/V19 明确未覆盖，不能当 PASS。","如果写成已实现，会把 roadmap 或外部 benchmark 坐标冒充产品能力。","保留为 deferred/roadmap；只有真实代码、测试、live/raw 证据齐后才能转入 PASS。"
